Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Homepage,75,41,15,265,55.13,0.000%,71.83908,112.75,9.33,1607.1 
TOTAL,75,41,15,265,55.13,0.000%,71.83908,112.75,9.33,1607.1
