Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Homepage,55,55,41,99,14.98,0.000%,1.86510,2.93,0.20,1606.8 
TOTAL,55,55,41,99,14.98,0.000%,1.86510,2.93,0.20,1606.8
